0,1,2,paths
1,0,0,ISL/ISL-100-100-100_1000_1100-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_1000_1500-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_1100_1000-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_1100_1100-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_1100_900-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_1200_800-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_1200_900-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_500_1200-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_500_1300-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_500_1400-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_500_1500-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_500_200-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_600_1100-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_600_1200-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_600_1500-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_600_1600-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_600_200-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_600_300-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_600_400-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_600_500-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_100-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_1100-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_1400-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_1500-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_1600-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_200-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_400-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_500-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_600-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_700-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_800-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_700_900-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_800_100-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_800_1000-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_800_1100-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_800_1400-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_800_1500-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_800_1600-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_800_800-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_800_900-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_900_1100-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_900_1500-2020-12-15-2021-03-15.tif
1,0,0,ISL/ISL-100-100-100_900_900-2020-12-15-2021-03-15.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_1000-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_1200-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_1300-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_1400-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_1500-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_1600-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_1700-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_1800-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_1900-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2000-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2100-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2200-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2300-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2400-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2500-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2600-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2700-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2800-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_2900-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_300-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_400-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_500-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_600-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_700-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_800-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1000_900-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_1000-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_1200-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_1300-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_1400-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_1500-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_1600-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_1700-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_1800-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_1900-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_2000-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_2100-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_2200-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_2300-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_2400-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_300-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_3600-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_3700-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_400-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_500-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_600-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_700-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_800-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1100_900-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_1100-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_1200-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_1300-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_1400-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_1500-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_1600-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_1700-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_1800-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_1900-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_2000-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_2100-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_3300-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_3400-2019-12-01-2020-02-29.tif
0,1,0,SAB/Shifting_cultivation-100-101-101_1200_3500-2019-12-01-2020-02-29.tif
